gemeente,plaats,lat,lng
Midden-Drenthe,Nieuw-Balinge,52.85980536,6.51557019
Midden-Drenthe,Nieuweroord,52.85980536,6.51557019
Midden-Drenthe,Oranje,52.85980536,6.51557019
Midden-Drenthe,Orvelte,52.85980536,6.51557019
Midden-Drenthe,Smilde,52.85980536,6.51557019
Midden-Drenthe,Spier,52.85980536,6.51557019
Midden-Drenthe,Stuifzand,52.85980536,6.51557019
Midden-Drenthe,Tiendeveen,52.85980536,6.51557019
Midden-Drenthe,Westerbork,52.85980536,6.51557019
Midden-Drenthe,Wijster,52.85980536,6.51557019
Midden-Drenthe,Witteveen,52.85980536,6.51557019
Midden-Drenthe,Zuidveld,52.85980536,6.51557019
Midden-Drenthe,Zwiggelte,52.85980536,6.51557019
Midden-Groningen,Borgercompagnie,53.15342526,6.75714974
Midden-Groningen,Foxhol,53.15342526,6.75714974
Midden-Groningen,Froombosch,53.15342526,6.75714974
Midden-Groningen,Harkstede,53.15342526,6.75714974
Midden-Groningen,Hellum,53.15342526,6.75714974
Midden-Groningen,Hoogezand,53.15342526,6.75714974
Midden-Groningen,Kiel-Windeweer,53.15342526,6.75714974
Midden-Groningen,Kolham,53.15342526,6.75714974
Midden-Groningen,Kropswolde,53.15342526,6.75714974
Midden-Groningen,Lageland,53.15342526,6.75714974
Midden-Groningen,Luddeweer,53.15342526,6.75714974
Midden-Groningen,Meeden,53.15342526,6.75714974
Midden-Groningen,Muntendam,53.15342526,6.75714974
Midden-Groningen,Noordbroek,53.15342526,6.75714974
Midden-Groningen,Overschild,53.15342526,6.75714974
Midden-Groningen,Sappemeer,53.15342526,6.75714974
Midden-Groningen,Scharmer,53.15342526,6.75714974
Midden-Groningen,Schildwolde,53.15342526,6.75714974
Midden-Groningen,Siddeburen,53.15342526,6.75714974
Midden-Groningen,Slochteren,53.15342526,6.75714974
Midden-Groningen,Steendam,53.15342526,6.75714974
Midden-Groningen,Tjuchem,53.15342526,6.75714974
Midden-Groningen,Tripscompagnie,53.15342526,6.75714974
Midden-Groningen,Waterhuizen,53.15342526,6.75714974
Midden-Groningen,Westerbroek,53.15342526,6.75714974
Midden-Groningen,Woudbloem,53.15342526,6.75714974
Midden-Groningen,Zuidbroek,53.15342526,6.75714974
Moerdijk,Fijnaart,51.64191761,4.60476965
Moerdijk,Heijningen,51.64191761,4.60476965
Moerdijk,Klundert,51.64191761,4.60476965
Moerdijk,Langeweg,51.64191761,4.60476965
Moerdijk,Moerdijk,51.64191761,4.60476965
Moerdijk,Noordhoek,51.64191761,4.60476965
Moerdijk,Oudemolen NB,51.64191761,4.60476965
Moerdijk,Standdaarbuiten,51.64191761,4.60476965
Moerdijk,Willemstad,51.64191761,4.60476965
Moerdijk,Zevenbergen,51.64191761,4.60476965
Moerdijk,Zevenbergschen Hoek,51.64191761,4.60476965
Molenlanden,Arkel,,
Molenlanden,Bleskensgraaf Ca,,
Molenlanden,Brandwijk,,
Molenlanden,Giessenburg,,
Molenlanden,Goudriaan,,
Molenlanden,Groot-Ammers,,
Molenlanden,Hoogblokland,,
Molenlanden,Hoornaar,,
Molenlanden,Kinderdijk,,
Molenlanden,Langerak,,
Molenlanden,Molenaarsgraaf,,
Molenlanden,Nieuw-Lekkerland,,
Molenlanden,Nieuwpoort,,
Molenlanden,Noordeloos,,
Molenlanden,Ottoland,,
Molenlanden,Oud-Alblas,,
Molenlanden,Schelluinen,,
Molenlanden,Streefkerk,,
Molenlanden,Waal,,
Molenlanden,Wijngaarden,,
Montferland,'s-Heerenberg,51.93114768,6.13405981
Montferland,Azewijn,51.93114768,6.13405981
Montferland,Beek Gem Montferland,51.93114768,6.13405981
Montferland,Braamt,51.93114768,6.13405981
Montferland,Didam,51.93114768,6.13405981
Montferland,Kilder,51.93114768,6.13405981
Montferland,Lengel,51.93114768,6.13405981
Montferland,Loerbeek,51.93114768,6.13405981
Montferland,Stokkum,51.93114768,6.13405981
Montferland,Vethuizen,51.93114768,6.13405981
Montferland,Wijnbergen,51.93114768,6.13405981
Montferland,Zeddam,51.93114768,6.13405981
Montfoort,Linschoten,52.04422994,4.95050099
Montfoort,Montfoort,52.04422994,4.95050099
Mook en Middelaar,Middelaar,51.75099576,5.88115284
Mook en Middelaar,Molenhoek,51.75099576,5.88115284
Mook en Middelaar,Mook,51.75099576,5.88115284
Mook en Middelaar,Plasmolen,51.75099576,5.88115284
Neder-Betuwe,Dodewaard,51.93351089,5.6301612
Neder-Betuwe,Echteld,51.93351089,5.6301612
Neder-Betuwe,Ijzendoorn,51.93351089,5.6301612
Neder-Betuwe,Kesteren,51.93351089,5.6301612
Neder-Betuwe,Ochten,51.93351089,5.6301612
Neder-Betuwe,Opheusden,51.93351089,5.6301612
Nederweert,Leveroy,51.28295358,5.74935282
Nederweert,Nederweert,51.28295358,5.74935282
Nederweert,Nederweert-Eind,51.28295358,5.74935282
Nederweert,Ospel,51.28295358,5.74935282
Nieuwegein,Nieuwegein,52.027798,5.084824
Nieuwkoop,Nieuwkoop,52.18982967,4.75935404
Nieuwkoop,Nieuwveen,52.18982967,4.75935404
Nieuwkoop,Noorden,52.18982967,4.75935404
Nieuwkoop,Ter Aar,52.18982967,4.75935404
Nieuwkoop,Vrouwenakker,52.18982967,4.75935404
Nieuwkoop,Woerdense Verlaat,52.18982967,4.75935404
Nieuwkoop,Zevenhoven,52.18982967,4.75935404
Nijkerk,Hoevelaken,52.22654199,5.48295253
Nijkerk,Nijkerk,52.22654199,5.48295253
Nijkerk,Nijkerkerveen,52.22654199,5.48295253
Nijmegen,Lent,51.84666024,5.8659809
Nijmegen,Nijmegen,51.84666024,5.8659809
Nissewaard,Abbenbroek,51.84809114,4.3287024
Nissewaard,Geervliet,51.84809114,4.3287024
Nissewaard,Heenvliet,51.84809114,4.3287024
Nissewaard,Hekelingen,51.84809114,4.3287024
Nissewaard,Simonshaven,51.84809114,4.3287024
Nissewaard,Spijkenisse,51.84809114,4.3287024
Nissewaard,Zuidland,51.84809114,4.3287024
Noardeast-Fryslân,Aalsum,,
Noardeast-Fryslân,Aldwald,,
Noardeast-Fryslân,Augsbuert-Lytsewald,,
Noardeast-Fryslân,Blije,,
Noardeast-Fryslân,Boarnwert,,
Noardeast-Fryslân,Brantgum,,
Noardeast-Fryslân,Burdaard,,
Noardeast-Fryslân,Burum,,
Noardeast-Fryslân,De Trieme,,
Noardeast-Fryslân,Dokkum,,
Noardeast-Fryslân,Eanjum,,
Noardeast-Fryslân,Easternijtsjerk,,
Noardeast-Fryslân,Eastrum,,
Noardeast-Fryslân,Feankleaster,,
Noardeast-Fryslân,Ferwert,,
Noardeast-Fryslân,Foudgum,,
Noardeast-Fryslân,Ginnum,,
Noardeast-Fryslân,Hallum,,
Noardeast-Fryslân,Hantum,,
Noardeast-Fryslân,Hantumerutbuorren,,
Noardeast-Fryslân,Hantumhuzen,,
Noardeast-Fryslân,Hegebeintum,,
Noardeast-Fryslân,Hiaure,,
Noardeast-Fryslân,Holwert,,
Noardeast-Fryslân,Ie,,
Noardeast-Fryslân,Ingwierrum,,
Noardeast-Fryslân,Jannum,,
Noardeast-Fryslân,Jislum,,
Noardeast-Fryslân,Jouswier,,
Noardeast-Fryslân,Kollum,,
Noardeast-Fryslân,Kollumerpomp,,
Noardeast-Fryslân,Kollumersweach,,
Noardeast-Fryslân,Lichtaard,,
Noardeast-Fryslân,Ljussens,,
Noardeast-Fryslân,Marrum,,
Noardeast-Fryslân,Mitselwier,,
Noardeast-Fryslân,Moarre,,
Noardeast-Fryslân,Moddergat,,
Noardeast-Fryslân,Munnekezijl,,
Noardeast-Fryslân,Nes Noardeast-Fryslan,,
Noardeast-Fryslân,Nijewier,,
Noardeast-Fryslân,Peazens,,
Noardeast-Fryslân,Raard,,
Noardeast-Fryslân,Reitsum,,
Noardeast-Fryslân,Sweagerbosk,,
Noardeast-Fryslân,Ternaard,,
Noardeast-Fryslân,Waaxens,,
Noardeast-Fryslân,Wanswert,,
Noardeast-Fryslân,Warfstermolen,,
Noardeast-Fryslân,Westergeast,,
Noardeast-Fryslân,Wetsens,,
Noardeast-Fryslân,Wierum,,
Noord-Beveland,Colijnsplaat,51.58501291,3.74707843
Noord-Beveland,Geersdijk,51.58501291,3.74707843
Noord-Beveland,Kamperland,51.58501291,3.74707843
Noord-Beveland,Kats,51.58501291,3.74707843
Noord-Beveland,Kortgene,51.58501291,3.74707843
Noord-Beveland,Wissenkerke,51.58501291,3.74707843
Noordenveld,Alteveer Gem Noordenveld,53.13690855,6.43359304
Noordenveld,Een,53.13690855,6.43359304
Noordenveld,Een-West,53.13690855,6.43359304
Noordenveld,Foxwolde,53.13690855,6.43359304
Noordenveld,Huis Ter Heide DR,53.13690855,6.43359304
Noordenveld,Langelo,53.13690855,6.43359304
Noordenveld,Leutingewolde,53.13690855,6.43359304
Noordenveld,Lieveren,53.13690855,6.43359304
Noordenveld,Matsloot,53.13690855,6.43359304
Noordenveld,Nietap,53.13690855,6.43359304
Noordenveld,Nieuw-Roden,53.13690855,6.43359304
Noordenveld,Norg,53.13690855,6.43359304
Noordenveld,Peest,53.13690855,6.43359304
Noordenveld,Peize,53.13690855,6.43359304
Noordenveld,Roden,53.13690855,6.43359304
Noordenveld,Roderesch,53.13690855,6.43359304
Noordenveld,Roderwolde,53.13690855,6.43359304
Noordenveld,Steenbergen DR,53.13690855,6.43359304
Noordenveld,Veenhuizen,53.13690855,6.43359304
Noordenveld,Westervelde,53.13690855,6.43359304
Noordenveld,Zuidvelde,53.13690855,6.43359304
Noordoostpolder,Bant,52.70971703,5.74758283
Noordoostpolder,Creil,52.70971703,5.74758283
Noordoostpolder,Emmeloord,52.70971703,5.74758283
Noordoostpolder,Ens,52.70971703,5.74758283
Noordoostpolder,Espel,52.70971703,5.74758283
Noordoostpolder,Kraggenburg,52.70971703,5.74758283
Noordoostpolder,Luttelgeest,52.70971703,5.74758283
Noordoostpolder,Marknesse,52.70971703,5.74758283
Noordoostpolder,Nagele,52.70971703,5.74758283
Noordoostpolder,Rutten,52.70971703,5.74758283
Noordoostpolder,Schokland,52.70971703,5.74758283
Noordoostpolder,Tollebeek,52.70971703,5.74758283
Noordwijk,De Zilk,52.23389111,4.44877579
Noordwijk,Noordwijk ZH,52.23389111,4.44877579
Noordwijk,Noordwijkerhout,52.23389111,4.44877579
Nuenen c.a.,Nuenen,51.47883399,5.55328995
Nunspeet,Elspeet,52.3770844,5.78392958
Nunspeet,Hulshorst,52.3770844,5.78392958
Nunspeet,Nunspeet,52.3770844,5.78392958
Nunspeet,Vierhouten,52.3770844,5.78392958
Oegstgeest,Oegstgeest,52.17816508,4.46233536
Oirschot,Oirschot,51.50392228,5.30715122
Oirschot,Oost West en Middelbeers,51.50392228,5.30715122
Oisterwijk,Haaren,51.58090325,5.19922808
Oisterwijk,Heukelom,51.58090325,5.19922808
Oisterwijk,Moergestel,51.58090325,5.19922808
Oisterwijk,Oisterwijk,51.58090325,5.19922808
Oldambt,'t Waar,53.14437004,7.03947891
Oldambt,Bad Nieuweschans,53.14437004,7.03947891
Oldambt,Beerta,53.14437004,7.03947891
Oldambt,Blauwestad,53.14437004,7.03947891
Oldambt,Drieborg,53.14437004,7.03947891
Oldambt,Finsterwolde,53.14437004,7.03947891
Oldambt,Heiligerlee,53.14437004,7.03947891
Oldambt,Midwolda,53.14437004,7.03947891
Oldambt,Nieuw Beerta,53.14437004,7.03947891
Oldambt,Nieuw Scheemda,53.14437004,7.03947891
Oldambt,Nieuwolda,53.14437004,7.03947891
Oldambt,Oostwold Gem Oldambt,53.14437004,7.03947891
Oldambt,Oudezijl,53.14437004,7.03947891
Oldambt,Scheemda,53.14437004,7.03947891
Oldambt,Westerlee,53.14437004,7.03947891
Oldambt,Winschoten,53.14437004,7.03947891
Oldebroek,'T Loo Oldebroek,52.44586104,5.89965874
Oldebroek,Hattemerbroek,52.44586104,5.89965874
Oldebroek,Noordeinde GLD,52.44586104,5.89965874
Oldebroek,Oldebroek,52.44586104,5.89965874
Oldebroek,Oosterwolde GLD,52.44586104,5.89965874
Oldebroek,Wezep,52.44586104,5.89965874
Oldenzaal,Deurningen,52.31251698,6.93045342
Oldenzaal,Oldenzaal,52.31251698,6.93045342
Olst-Wijhe,Marle,52.38513063,6.12949013
Olst-Wijhe,Olst,52.38513063,6.12949013
Olst-Wijhe,Welsum,52.38513063,6.12949013
Olst-Wijhe,Wesepe,52.38513063,6.12949013
Olst-Wijhe,Wijhe,52.38513063,6.12949013
Ommen,Arrien,52.52563741,6.42367667
Ommen,Beerze,52.52563741,6.42367667
Ommen,Beerzerveld,52.52563741,6.42367667
Ommen,Dalmsholte,52.52563741,6.42367667
Ommen,Giethmen,52.52563741,6.42367667
Ommen,Lemele,52.52563741,6.42367667
Ommen,Ommen,52.52563741,6.42367667
Ommen,Stegeren,52.52563741,6.42367667
Ommen,Vilsteren,52.52563741,6.42367667
Ommen,Vinkenbuurt,52.52563741,6.42367667
Ommen,Witharen,52.52563741,6.42367667
Oost Gelre,Groenlo,51.98809317,6.56296696
Oost Gelre,Harreveld,51.98809317,6.56296696
Oost Gelre,Lichtenvoorde,51.98809317,6.56296696
Oost Gelre,Lievelde,51.98809317,6.56296696
Oost Gelre,Marienvelde,51.98809317,6.56296696
Oost Gelre,Vragender,51.98809317,6.56296696
Oost Gelre,Zieuwent,51.98809317,6.56296696
Oosterhout,Den Hout,51.6390559,4.86173976
Oosterhout,Dorst,51.6390559,4.86173976
Oosterhout,Oosteind,51.6390559,4.86173976
Oosterhout,Oosterhout NB,51.6390559,4.86173976
Ooststellingwerf,Appelscha,52.99465484,6.29398363
Ooststellingwerf,Donkerbroek,52.99465484,6.29398363
Ooststellingwerf,Elsloo FR,52.99465484,6.29398363
Ooststellingwerf,Fochteloo,52.99465484,6.29398363
Ooststellingwerf,Haule,52.99465484,6.29398363
Ooststellingwerf,Haulerwijk,52.99465484,6.29398363
Ooststellingwerf,Langedijke,52.99465484,6.29398363
Ooststellingwerf,Makkinga,52.99465484,6.29398363
Ooststellingwerf,Nijeberkoop,52.99465484,6.29398363
Ooststellingwerf,Oldeberkoop,52.99465484,6.29398363
Ooststellingwerf,Oosterwolde FR,52.99465484,6.29398363
Ooststellingwerf,Ravenswoud,52.99465484,6.29398363
Ooststellingwerf,Waskemeer,52.99465484,6.29398363
Oostzaan,Oostzaan,52.44058078,4.87588821
Opmeer,Aartswoud,52.70635353,4.94481511
Opmeer,De Weere,52.70635353,4.94481511
Opmeer,Hoogwoud,52.70635353,4.94481511
Opmeer,Opmeer,52.70635353,4.94481511
Opmeer,Spanbroek,52.70635353,4.94481511
Opsterland,Bakkeveen,53.059163,6.07946584
Opsterland,Beetsterzwaag,53.059163,6.07946584
Opsterland,Frieschepalen,53.059163,6.07946584
Opsterland,Gorredijk,53.059163,6.07946584
Opsterland,Hemrik,53.059163,6.07946584
Opsterland,Jonkerslan,53.059163,6.07946584
Opsterland,Langezwaag,53.059163,6.07946584
Opsterland,Lippenhuizen,53.059163,6.07946584
Opsterland,Luxwoude,53.059163,6.07946584
Opsterland,Nij Beets,53.059163,6.07946584
Opsterland,Olterterp,53.059163,6.07946584
Opsterland,Siegerswoude,53.059163,6.07946584
Opsterland,Terwispel,53.059163,6.07946584
Opsterland,Tijnje,53.059163,6.07946584
Opsterland,Ureterp,53.059163,6.07946584
Opsterland,Wijnjewoude,53.059163,6.07946584
Oss,Berghem,51.76488531,5.52579162
Oss,Demen,51.76488531,5.52579162
Oss,Deursen-Dennenburg,51.76488531,5.52579162
Oss,Dieden,51.76488531,5.52579162
Oss,Geffen,51.76488531,5.52579162
Oss,Haren NB,51.76488531,5.52579162
Oss,Herpen,51.76488531,5.52579162
Oss,Huisseling,51.76488531,5.52579162
Oss,Keent,51.76488531,5.52579162
Oss,Lith,51.76488531,5.52579162
Oss,Lithoijen,51.76488531,5.52579162
Oss,Macharen,51.76488531,5.52579162
Oss,Maren-Kessel,51.76488531,5.52579162
Oss,Megen,51.76488531,5.52579162
Oss,Neerlangel,51.76488531,5.52579162
Oss,Neerloon,51.76488531,5.52579162
Oss,Oijen,51.76488531,5.52579162
Oss,Oss,51.76488531,5.52579162
Oss,Overlangel,51.76488531,5.52579162
Oss,Ravenstein,51.76488531,5.52579162
Oss,Teeffelen,51.76488531,5.52579162
Oude IJsselstreek,Breedenbroek,51.87763024,6.37488735
Oude IJsselstreek,Etten,51.87763024,6.37488735
Oude IJsselstreek,Gendringen,51.87763024,6.37488735
Oude IJsselstreek,Heelweg,51.87763024,6.37488735
Oude IJsselstreek,Megchelen,51.87763024,6.37488735
Oude IJsselstreek,Netterden,51.87763024,6.37488735
Oude IJsselstreek,Silvolde,51.87763024,6.37488735
Oude IJsselstreek,Sinderen,51.87763024,6.37488735
Oude IJsselstreek,Terborg,51.87763024,6.37488735
Oude IJsselstreek,Ulft,51.87763024,6.37488735
Oude IJsselstreek,Varsselder,51.87763024,6.37488735
Oude IJsselstreek,Varsseveld,51.87763024,6.37488735
Oude IJsselstreek,Voorst Oude IJsselstreek,51.87763024,6.37488735
Oude IJsselstreek,Westendorp,51.87763024,6.37488735
Ouder-Amstel,Amsterdam-Duivendrecht,52.29734174,4.9042783
Ouder-Amstel,Duivendrecht,52.29734174,4.9042783
Ouder-Amstel,Ouderkerk aan de Amstel,52.29734174,4.9042783
Oudewater,Hekendorp,52.02037846,4.87485723
Oudewater,Oudewater,52.02037846,4.87485723
Oudewater,Papekop,52.02037846,4.87485723
Oudewater,Snelrewaard,52.02037846,4.87485723
Overbetuwe,Andelst,51.91830154,5.84545225
Overbetuwe,Driel,51.91830154,5.84545225
Overbetuwe,Elst GLD,51.91830154,5.84545225
Overbetuwe,Hemmen,51.91830154,5.84545225
Overbetuwe,Herveld,51.91830154,5.84545225
Overbetuwe,Heteren,51.91830154,5.84545225
Overbetuwe,Homoet,51.91830154,5.84545225
Overbetuwe,Oosterhout GLD,51.91830154,5.84545225
Overbetuwe,Randwijk,51.91830154,5.84545225
Overbetuwe,Slijk-Ewijk,51.91830154,5.84545225
Overbetuwe,Valburg,51.91830154,5.84545225
Overbetuwe,Zetten,51.91830154,5.84545225
Papendrecht,Papendrecht,51.82637253,4.68261719
Peel en Maas,Baarlo LB,51.32981371,5.97858634
Peel en Maas,Beringe,51.32981371,5.97858634
Peel en Maas,Egchel,51.32981371,5.97858634
Peel en Maas,Grashoek,51.32981371,5.97858634
Peel en Maas,Helden,51.32981371,5.97858634
Peel en Maas,Kessel,51.32981371,5.97858634
Peel en Maas,Koningslust,51.32981371,5.97858634
Peel en Maas,Maasbree,51.32981371,5.97858634
Peel en Maas,Meijel,51.32981371,5.97858634
Peel en Maas,Panningen,51.32981371,5.97858634
Pekela,Nieuwe Pekela,53.10430764,7.00829378
Pekela,Oude Pekela,53.10430764,7.00829378
Pijnacker-Nootdorp,Delfgauw,52.01311585,4.4386197
Pijnacker-Nootdorp,Nootdorp,52.01311585,4.4386197
Pijnacker-Nootdorp,Pijnacker,52.01311585,4.4386197
Purmerend,Middenbeemster,52.50657044,4.95368542
Purmerend,Noordbeemster,52.50657044,4.95368542
Purmerend,Purmerend,52.50657044,4.95368542
Purmerend,Westbeemster,52.50657044,4.95368542
Purmerend,Zuidoostbeemster,52.50657044,4.95368542
Putten,Putten,52.26178316,5.60764789
Raalte,Broekland,52.38818205,6.27228147
Raalte,Heeten,52.38818205,6.27228147
Raalte,Heino,52.38818205,6.27228147
Raalte,Laag Zuthem,52.38818205,6.27228147
Raalte,Lierderholthuis,52.38818205,6.27228147
Raalte,Luttenberg,52.38818205,6.27228147
Raalte,Marienheem,52.38818205,6.27228147
Raalte,Nieuw Heeten,52.38818205,6.27228147
Raalte,Raalte,52.38818205,6.27228147
Reimerswaal,Hansweert,51.45002778,4.03313882
Reimerswaal,Krabbendijke,51.45002778,4.03313882
Reimerswaal,Kruiningen,51.45002778,4.03313882
Reimerswaal,Oostdijk,51.45002778,4.03313882
Reimerswaal,Rilland,51.45002778,4.03313882
Reimerswaal,Waarde,51.45002778,4.03313882
Reimerswaal,Yerseke,51.45002778,4.03313882
Renkum,Doorwerth,51.98824612,5.84233674
Renkum,Heelsum,51.98824612,5.84233674
Renkum,Heveadorp,51.98824612,5.84233674
Renkum,Oosterbeek,51.98824612,5.84233674
Renkum,Renkum,51.98824612,5.84233674
Renkum,Wolfheze,51.98824612,5.84233674
Renswoude,Renswoude,52.07170964,5.54659164
Reusel-De Mierden,Hooge Mierde,51.36163355,5.16299564
Reusel-De Mierden,Hulsel,51.36163355,5.16299564
Reusel-De Mierden,Lage Mierde,51.36163355,5.16299564
Reusel-De Mierden,Reusel,51.36163355,5.16299564
Rheden,De Steeg,52.01794755,6.05665696
Rheden,Dieren,52.01794755,6.05665696
Rheden,Ellecom,52.01794755,6.05665696
Rheden,Laag-Soeren,52.01794755,6.05665696
Rheden,Rheden,52.01794755,6.05665696
Rheden,Spankeren,52.01794755,6.05665696
Rheden,Velp GLD,52.01794755,6.05665696
Rhenen,Elst UT,51.9615835,5.56802579
Rhenen,Rhenen,51.9615835,5.56802579
Ridderkerk,Ridderkerk,51.871682,4.59948767
Rijssen-Holten,Holten,52.30736071,6.52203922
Rijssen-Holten,Rijssen,52.30736071,6.52203922
Rijswijk,Rijswijk ZH,52.04814727,4.33006219
Roerdalen,Herkenbosch,51.14191901,5.99274516
Roerdalen,Melick,51.14191901,5.99274516
Roerdalen,Montfort,51.14191901,5.99274516
Roerdalen,Posterholt,51.14191901,5.99274516
Roerdalen,Sint Odilienberg,51.14191901,5.99274516
Roerdalen,Vlodrop,51.14191901,5.99274516
Roermond,Herten,51.19797088,5.98625162
Roermond,Roermond,51.19797088,5.98625162
Roermond,Swalmen,51.19797088,5.98625162
Roosendaal,Heerle,51.53564109,4.45680521
Roosendaal,Moerstraten,51.53564109,4.45680521
Roosendaal,Nispen,51.53564109,4.45680521
Roosendaal,Roosendaal,51.53564109,4.45680521
Roosendaal,Wouw,51.53564109,4.45680521
Roosendaal,Wouwse Plantage,51.53564109,4.45680521
Rotterdam,Botlek Rotterdam,51.92271468,4.47916155
Rotterdam,Europoort Rotterdam,51.92271468,4.47916155
Rotterdam,Hoek Van Holland,51.92271468,4.47916155
Rotterdam,Hoogvliet Rotterdam,51.92271468,4.47916155
Rotterdam,Maasvlakte Rotterdam,51.92271468,4.47916155
Rotterdam,Pernis Rotterdam,51.92271468,4.47916155
Rotterdam,Rotterdam,51.92271468,4.47916155
Rotterdam,Rozenburg ZH,51.92271468,4.47916155
Rotterdam,Vondelingenplaat Rotterd,51.92271468,4.47916155
Rozendaal,Rozendaal,52.00797399,5.96503632
Rucphen,Rucphen,51.5388869,4.57903844
Rucphen,Schijf,51.5388869,4.57903844
Rucphen,Sprundel,51.5388869,4.57903844
Rucphen,St. Willebrord,51.5388869,4.57903844
Rucphen,Zegge,51.5388869,4.57903844
Schagen,'t Zand,52.78627154,4.80067985
Schagen,Burgerbrug,52.78627154,4.80067985
Schagen,Callantsoog,52.78627154,4.80067985
Schagen,Dirkshorn,52.78627154,4.80067985
Schagen,Oudesluis,52.78627154,4.80067985
Schagen,Oudkarspel,52.78627154,4.80067985
Schagen,Petten,52.78627154,4.80067985
Schagen,Schagen,52.78627154,4.80067985
Schagen,Schagerbrug,52.78627154,4.80067985
Schagen,Sint Maarten,52.78627154,4.80067985
Schagen,Sint Maartensbrug,52.78627154,4.80067985
Schagen,Sint Maartensvlotbrug,52.78627154,4.80067985
Schagen,Tuitjenhorn,52.78627154,4.80067985
Schagen,Waarland,52.78627154,4.80067985
Schagen,Warmenhuizen,52.78627154,4.80067985
Scherpenzeel,Scherpenzeel GLD,52.08143257,5.47010966
Schiedam,Schiedam,51.91808966,4.40362454
Schiermonnikoog,Schiermonnikoog,53.47889745,6.16137535
Schouwen-Duiveland,Brouwershaven,51.65394376,3.91413352
Schouwen-Duiveland,Bruinisse,51.65394376,3.91413352
Schouwen-Duiveland,Burgh-Haamstede,51.65394376,3.91413352
Schouwen-Duiveland,Dreischor,51.65394376,3.91413352
Schouwen-Duiveland,Ellemeet,51.65394376,3.91413352
Schouwen-Duiveland,Kerkwerve,51.65394376,3.91413352
Schouwen-Duiveland,Nieuwerkerk,51.65394376,3.91413352
Schouwen-Duiveland,Noordgouwe,51.65394376,3.91413352
Schouwen-Duiveland,Noordwelle,51.65394376,3.91413352
Schouwen-Duiveland,Oosterland,51.65394376,3.91413352
Schouwen-Duiveland,Ouwerkerk,51.65394376,3.91413352
Schouwen-Duiveland,Renesse,51.65394376,3.91413352
Schouwen-Duiveland,Scharendijke,51.65394376,3.91413352
Schouwen-Duiveland,Serooskerke Schouwen-Dui,51.65394376,3.91413352
Schouwen-Duiveland,Sirjansland,51.65394376,3.91413352
Schouwen-Duiveland,Zierikzee,51.65394376,3.91413352
Schouwen-Duiveland,Zonnemaire,51.65394376,3.91413352
Simpelveld,Baneheide,50.83545902,5.98438956
Simpelveld,Bocholtz,50.83545902,5.98438956
Simpelveld,Simpelveld,50.83545902,5.98438956
Sint-Michielsgestel,Berlicum,51.64039354,5.34713469
Sint-Michielsgestel,Den Dungen,51.64039354,5.34713469
Sint-Michielsgestel,Gemonde,51.64039354,5.34713469
Sint-Michielsgestel,Sint-Michielsgestel,51.64039354,5.34713469
Sittard-Geleen,Born,50.99475082,5.86902311
Sittard-Geleen,Buchten,50.99475082,5.86902311
Sittard-Geleen,Einighausen,50.99475082,5.86902311
Sittard-Geleen,Geleen,50.99475082,5.86902311
Sittard-Geleen,Grevenbicht,50.99475082,5.86902311
Sittard-Geleen,Guttecoven,50.99475082,5.86902311
Sittard-Geleen,Holtum,50.99475082,5.86902311
Sittard-Geleen,Limbricht,50.99475082,5.86902311
Sittard-Geleen,Munstergeleen,50.99475082,5.86902311
Sittard-Geleen,Obbicht,50.99475082,5.86902311
Sittard-Geleen,Papenhoven,50.99475082,5.86902311
Sittard-Geleen,Sittard,50.99475082,5.86902311
Sittard-Geleen,Windraak,50.99475082,5.86902311
Sliedrecht,Sliedrecht,51.81910534,4.76876842
Sluis,Aardenburg,51.32603331,3.48699227
Sluis,Biervliet,51.32603331,3.48699227
Sluis,Breskens,51.32603331,3.48699227
Sluis,Cadzand,51.32603331,3.48699227
Sluis,Eede,51.32603331,3.48699227
Sluis,Groede,51.32603331,3.48699227
Sluis,Hoofdplaat,51.32603331,3.48699227
Sluis,IJzendijke,51.32603331,3.48699227
Sluis,Nieuwvliet,51.32603331,3.48699227
Sluis,Oostburg,51.32603331,3.48699227
Sluis,Retranchement,51.32603331,3.48699227
Sluis,Schoondijke,51.32603331,3.48699227
Sluis,Sint Kruis,51.32603331,3.48699227
Sluis,Sluis,51.32603331,3.48699227
Sluis,Waterlandkerkje,51.32603331,3.48699227
Sluis,Zuidzande,51.32603331,3.48699227
Smallingerland,Boornbergum,53.10352028,6.09693474
Smallingerland,De Tike,53.10352028,6.09693474
Smallingerland,De Veenhoop,53.10352028,6.09693474
Smallingerland,De Wilgen,53.10352028,6.09693474
Smallingerland,Drachten,53.10352028,6.09693474
Smallingerland,Drachtstercompagnie,53.10352028,6.09693474
Smallingerland,Goengahuizen,53.10352028,6.09693474
Smallingerland,Houtigehage,53.10352028,6.09693474
Smallingerland,Kortehemmen,53.10352028,6.09693474
Smallingerland,Nijega,53.10352028,6.09693474
Smallingerland,Opeinde,53.10352028,6.09693474
Smallingerland,Oudega Smallingerland,53.10352028,6.09693474
Smallingerland,Rottevalle,53.10352028,6.09693474
Smallingerland,Smalle Ee,53.10352028,6.09693474
Soest,Soest,52.1771323,5.29402895
Soest,Soesterberg,52.1771323,5.29402895
Someren,Lierop,51.38569459,5.71403204
Someren,Someren,51.38569459,5.71403204
Son en Breugel,Son en Breugel,51.51058167,5.49146451
